drug_id,smiles
0,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O
1,CNC(=O)NC(=N)NCCC[C@@H]1NC(=O)[C@@H](C)NC(=O)C[C@@H](C(=O)O)NC(=O)C[C@@H](C(=O)O)NC(=O)[C@H](Cc2ccccc2)N(C)C1=O
2,CC(=O)NC(=N)NCCC[C@@H]1NC(=O)[C@H](CCCC(=O)O)NC(=O)[C@H](Cc2cnc[nH]2)N2C(=O)[C@H](C[C@H]2O)NC(=O)[C@H]2CCCN2C1=O
3,Cc1ccc(CNS(=O)(=O)c2ccc(S(N)(=O)=O)s2)cc1
4,COc1ccc(CNS(=O)(=O)c2ccc(S(N)(=O)=O)s2)cc1
5,NS(=O)(=O)c1ccc(S(=O)(=O)NCc2cccs2)s1
6,NS(=O)(=O)c1cc2c(s1)S(=O)(=O)N(Cc1cccs1)C[C@@H]2O
7,COc1ccc(N2C[C@H](O)c3cc(S(N)(=O)=O)sc3S2(=O)=O)cc1
8,CCN[C@H]1CN(CCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
9,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
10,COc1cccc(N2CCc3cc(S(N)(=O)=O)sc3S2(=O)=O)c1
11,CN[C@H]1CN(c2cccc(OC)c2)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
12,CN[C@@H]1CN(c2cccc(OC)c2)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
13,COc1cccc(N2C=Cc3cc(S(N)(=O)=O)sc3S2(=O)=O)c1
14,NS(=O)(=O)c1ccc(C(=O)NCc2ccccc2)cc1
15,NS(=O)(=O)c1ccc(C(=O)NCc2ccccc2F)cc1
16,NS(=O)(=O)c1ccc(C(=O)NCc2ccc(F)cc2)cc1
17,NS(=O)(=O)c1ccc(C(=O)NCc2cccc(F)c2F)cc1
18,NS(=O)(=O)c1ccc(C(=O)NCc2ccc(F)cc2F)cc1
19,NS(=O)(=O)c1ccc(C(=O)NCc2cc(F)ccc2F)cc1
20,NS(=O)(=O)c1ccc(C(=O)NCc2c(F)cccc2F)cc1
21,NS(=O)(=O)c1ccc(C(=O)NCc2ccc(F)c(F)c2F)cc1
22,NS(=O)(=O)c1ccc(C(=O)NCc2c(F)cc(F)cc2F)cc1
23,NS(=O)(=O)c1ccc(C(=O)NCc2cc(F)c(F)c(F)c2)cc1
24,NS(=O)(=O)c1ccc(C(=O)NCc2c(F)c(F)c(F)c(F)c2F)cc1
25,NS(=O)(=O)c1ccccc1
26,NS(=O)(=O)c1ccc(CCNC(=O)c2ccc(CN(CC(=O)[O-])CC(=O)[O-])cc2)cc1
27,NS(=O)(=O)c1ccc(CCNC(=O)c2cccc(NC(=O)CN(CC(=O)[O-])CC(=O)[O-])c2)cc1
28,NS(=O)(=O)c1ccc(C(=O)NCCOCCOCCN(CC(=O)[O-])CC(=O)[O-])cc1
29,NS(=O)(=O)c1ccc(C(=O)NCCN(CC(=O)[O-])CC(=O)[O-])cc1
30,NS(=O)(=O)Oc1ccc2c3c(c(=O)oc2c1)CCCCC3
31,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C(C)(C)C
32,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H]1CCCc2ccccc21)C(C)(C)C
33,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H]1CCc2ccccc21)C(C)(C)C
34,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H]1CCc2ccccc21)C(C)(C)C
35,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1cccc2ccccc12)C(C)(C)C
36,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1ccc2ccccc2c1)C(C)(C)C
37,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)NC1c2ccccc2-c2ccccc21)C(C)(C)C
38,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)NCCc1ccccc1)C(C)(C)C
39,CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@@H](Oc2ccccc2)C[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C(C)(C)C
40,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C1CCCCC1
41,CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@@H](Oc2ccccc2)C[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C1CCCCC1
42,C[C@@H](C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C(C)(C)C)N(C)C
43,C[C@@H](C(=O)N[C@H](C(=O)N1C[C@@H](Oc2ccccc2)C[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C(C)(C)C)N(C)C
44,C[C@@H](C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C1CCCCC1)N(C)C
45,CN[C@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C(C)(C)C
