drug_id,protein_id,affinity
0,0,12.599996932
1,1,11.500000186
2,2,11.200000128
3,3,11.699999383
4,4,11.200000128
5,5,11.900000875
6,6,11.200000128
7,7,11.400000202
8,8,11.900000875
9,9,11.699999383
10,10,13.685026652
11,11,11.599999679
12,12,11.200000128
13,13,9.9549826945
14,14,12.25114559
15,15,11.303734096
16,16,11.599999679
17,17,10.165501549
16,18,13.600038134
18,19,11.900000875
19,20,11.300000237
20,21,11.1
21,9,11.300000237
22,22,13.200015437
23,23,11.058607315
24,9,11.300000237
25,24,11.1
26,25,11.401029996
27,26,11.900000875
28,27,11.1
29,10,11.599999679
30,28,11.413951172
31,21,11.1
32,29,11.1
33,30,11.300000237
34,31,11.599999679
35,32,11.1
36,33,12.1
37,22,11.300000237
38,34,10.300000031
39,5,11.900000875
40,35,11.800000504
41,36,11.800000504
42,37,11.300000237
43,21,11.999998417
44,38,11.800000504
45,0,11.500000186
46,39,12.1
47,13,10.497940009
1,40,11.900000875
48,41,13.600038134
49,42,11.999998417
50,43,10.622878745
51,44,11.599999679
52,6,10.622878745
53,39,14.500116928
54,45,11.800000504
55,2,11.200000128
56,12,13.200015437
57,9,11.1
58,38,11.800000504
59,46,10.200000019
60,47,10.599999953
61,48,11.699999383
62,49,10.737706062
63,50,11.1
64,51,11.200000128
65,47,12.299998172
66,52,12.299998172
67,53,11.1
68,4,11.200000128
69,54,11.414258261
70,55,12.299998172
71,56,11.32184875
72,57,10.200000019
73,58,11.594850022
74,59,11.400000202
75,60,12.699997654
76,61,11.200000128
77,62,12.499996913
78,63,13.953871964
79,16,11.599999679
80,31,13.1
81,64,11.300000237
82,65,11.900000875
83,66,11.599999679
84,59,11.900000875
85,67,11.500000186
86,68,11.200000128
87,3,11.699999383
88,35,11.800000504
89,63,11.150000064
90,10,13.248741651
91,69,11.427902142
92,58,11.822363999
93,70,11.900000875
94,71,11.599999679
95,4,11.200000128
96,25,10.377777536
97,15,12.199999035
98,72,11.1
99,48,11.699999383
100,7,11.798970004
101,73,11.800000504
102,24,11.200000128
103,74,14.310108202
104,7,11.999998417
105,65,11.200000128
106,75,11.200000128
107,76,11.699999383
63,14,11.300000237
108,71,11.599999679
109,77,11.900000875
110,28,11.400000202
111,78,12.799991797
10,79,10.401029995999998
56,80,11.900000875
112,81,11.400000202
113,82,12.599996932
114,79,11.900000875
115,51,11.200000128
116,66,11.599999679
117,83,12.359637311
118,13,10.738272164
119,84,11.400000202
120,85,11.500000186
121,18,13.600038134
122,26,11.900000875
123,62,14.200179498
124,65,13.200015437
125,86,11.999998417
126,60,11.300000237
127,87,11.699999383
128,0,11.500000186
129,88,12.199999035
130,89,11.200000128
131,33,11.1
132,17,10.1
133,6,11.599999679
134,22,11.300000237
135,14,11.800000504
136,90,11.500000186
137,63,11.404664894
138,61,13.1
139,8,11.900000875
140,41,11.400000202
141,77,11.400000202
142,91,11.1
143,92,11.500000186
144,84,10.401029995999998
145,93,11.963279433
