drug_id,smiles
0,O=C(Nc1cc(C)cc(c1)C)Nc1ccc(cc1)c1c(C)sc2c1c(N)ncn2
1,S=C1NC(=O)C(=C2C(=O)Nc3c2cc(Br)cc3)S1
2,COC(=O)c1c(C)n2c(c1c1ccc(cc1)NC(=O)Nc1ccccc1)c(N)ncn2
3,ON=C1c2cc(ccc2-c2c1cccc2)NS(=O)(=O)c1cccc(c1)Br
4,FC(c1cc(ccc1Cn1nnc(c1)c1ccc2c(c1)cn[nH]2)C(F)(F)F)(F)F
5,Cc1nnc(o1)c1sc2c(c1)c(cnc2)Oc1ccc(cc1)C(F)(F)F
6,CCCc1noc(c1)c1ccc2c(c1)cn[nH]2
7,NCCNS(=O)(=O)c1cccc(c1)C(=O)Nc1ccc(cc1)c1n[nH]c(=O)c2c1cccc2
8,O=C(Nc1ccnc2c1cccc2F)Nc1cccc(n1)C(F)(F)F
9,CCCCOc1ncnc2c1c(c[nH]2)c1ccccc1
10,N#Cc1cnc2c(c1Nc1ccc3c(c1C)cc[nH]3)cc(s2)C=CC(=O)N1CCCC1
11,Nc1n[nH]c2c1cc(cc2)c1nnn(c1)Cc1ccccc1
12,COc1cccc(c1)c1cn2c(c1)c(=O)[nH]c1c2cccc1
13,OCC(NN1C(=O)c2c(C1=O)c1c(c3c2c2ccc(cc2n3C2CC(O)C(C(O2)CO)O)O)[nH]c2c1ccc(c2)O)CO
14,CNc1sc(c(n1)C)c1nc(ncc1C#N)Nc1cccc(c1)N1CCNCCC1
15,O=C1NCCc2c1cc([nH]2)c1ccncc1
16,CC(Cn1c(N)nc2c1cc(cc2)c1c(nc2n1ccs2)c1ccc(cc1)F)C
17,OCC1OC(OC(=O)c2cc(O)c(c(c2)O)O)C2C(C1OC(=O)C1=CC(=O)C(C3(C1c1c(C(=O)O2)cc(c(c1O3)O)O)O)(O)O)O
18,OCC(NC(=O)c1ccc(cc1)c1ccncc1)Cc1ccc(cc1)Cl
19,O=C1Nc2c(C1=Cc1cn(c3c1cccc3)C)nccc2
20,O=C(c1cccc(c1)[N+](=O)[O-])NN=Cc1ccc(o1)Sc1nc2c([nH]1)cccc2
21,CCN(c1ccc(cc1)Nc1nc(NC2CC2)c2c(n1)nc[nH]2)C(=O)C
22,Fc1ccc(cc1)c1nc2n(c1c1ccnc(n1)NC1CCN(CC1)C(=O)C)cco2
23,COc1cc(cc(c1OC)OC)C1=C(CNC1=O)c1c[nH]c2c1cccc2
24,Nc1ncc(cc1OC(c1c(Cl)ccc(c1Cl)F)C)c1cnn(c1)C1CCNCC1
25,COc1cc2ncnc(c2cc1CN(CC(=O)N)C)Nc1cccc(c1F)Cl
26,O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1C1N(C3CC1)Cc1ccccc1
27,COCCOCC#Cc1scc(c1)c1n[nH]c2-c3c(C(=O)c12)cc(cc3)CN1CCN(CC1)C
28,Fc1cc(F)c(cc1c1ncoc1c1ccc2n(c1)c(nn2)C(C)C)F
29,C1CCN(CC1)c1ncnc2c1c(c[nH]2)c1ccccc1
