drug_id,protein_id,affinity
0,0,9.03
1,1,6.904999999999999
1,2,4.615
2,3,9.085
2,4,5.18
3,5,8.72
4,3,6.26
5,6,7.045
6,7,6.9
6,8,6.105
6,9,7.050000000000001
6,10,7.074999999999999
7,7,5.29
7,8,5.18
7,9,5.155
7,11,5.18
7,12,5.085
7,13,5.015
7,14,5.085
7,10,5.380000000000001
7,15,5.215
7,16,5.285
7,17,5.19
8,0,6.88
9,18,8.82
10,19,7.08
10,20,6.66
11,21,8.29
12,22,8.68
12,23,6.68
13,24,6.6
14,25,9.863333333333332
14,26,7.15
14,27,9.915
15,28,5.92
16,29,5.2
16,30,7.72
17,25,7.645
17,26,7.72
17,27,8.38
18,0,5.86
19,31,9.28
20,32,6.41
21,33,8.775
21,25,8.37
21,34,9.68
21,27,9.265
22,34,6.96
22,35,8.42
22,36,7.05
23,22,4.82
24,37,5.75
24,38,5.22
25,4,6.21
26,39,6.96
27,40,6.085
27,41,6.99
28,42,8.6
29,43,8.85
30,44,7.15
30,22,5.65
31,45,6.31
32,46,7.92
32,47,7.68
32,48,6.83
33,49,7.0
34,50,6.7
35,51,6.21
35,52,7.16
36,53,6.05
36,54,6.29
37,39,6.02
38,55,8.2
39,56,8.24
39,32,6.86
39,57,8.42
40,56,6.09
40,57,6.72
41,58,4.23
42,25,5.3
42,27,6.9
43,48,5.26
44,59,6.62
45,0,7.85
46,44,7.47
46,23,8.51
47,60,5.96
48,61,6.0
49,62,7.56
50,22,5.3
51,42,7.1
52,63,5.0
52,64,5.9
52,65,5.4
52,66,5.5
52,67,5.4
52,68,5.1
52,69,5.2
52,70,6.28
52,71,5.3
52,72,5.1
52,73,5.1
52,74,5.2
52,75,5.4
52,76,5.3
52,77,5.7
52,78,5.4
52,79,5.1
52,80,5.2
52,81,5.4
52,82,5.1
52,83,5.6
52,84,5.4
52,85,5.7
52,86,5.0
52,87,5.4
52,88,5.0
52,89,5.8
52,90,5.8
52,91,5.5
52,92,4.39
52,93,5.1
52,94,5.0
53,19,9.7
54,95,6.51
54,96,9.49
55,97,5.05
56,98,6.8
57,99,4.91
57,100,4.57
58,101,7.3
58,102,6.9
58,103,6.6
58,104,5.9
58,105,6.4
58,106,6.4
58,107,6.1
58,19,6.4
58,108,6.7
58,109,5.2
58,110,5.7
58,111,5.9
58,112,6.5
58,113,5.6
58,114,7.3
58,115,6.0
58,116,6.2
58,117,6.4
58,118,6.7
58,119,6.3
58,120,6.7
58,121,7.1
58,75,6.8
58,122,5.6
58,123,6.0
58,124,5.6
58,125,5.8
58,126,6.4
58,78,6.9
58,127,6.9
58,128,6.7
58,129,6.0
58,97,6.4
58,130,6.2
58,131,7.4
58,132,6.2
58,133,6.2
58,134,7.2
58,135,6.1
58,136,6.8
58,137,6.9
58,138,5.8
58,139,6.6
58,140,6.7
58,81,6.3
58,141,6.5
58,142,6.4
58,143,7.0
58,144,6.6
58,83,6.6
58,145,6.8
58,84,6.0
58,85,7.5
58,146,6.9
58,147,6.4
