drug_id,smiles
0,CN1CCCC1Cc1c[nH]c2ccc(OC3CCCCC3)cc12
1,COc1cccc(-c2cc(F)c(C3CC3N)cc2F)c1
2,CCOCC(=O)NC1CCCOc2c1nn(-c1ccccc1Cl)c2-c1ccc(Cl)cc1
3,COCCN1CC2C(C1)C2c1cc(-c2cnc(N)c(C(F)(F)F)c2)nn1CC(F)(F)F
4,CCCCCCCCC=CCCCCCCCC(=O)NCc1ccc(OC)cc1
5,O=c1[nH]c(N2CCC(c3ccccc3)CC2)c(Cc2ccc(Cl)cc2)c(=O)[nH]1
6,CC(=O)OCC1OC(NS(=O)(=O)NO)C=CC1OC(C)=O
7,CC(=O)OCC1OC(CC(=O)C=Cc2cccc(O)c2)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O
8,O=S(=O)(c1ccccc1)c1ccc2c3c(oc2c1)CCCNC3
9,Cc1cc(CSc2n[nH]c(Nc3cccnc3)n2)no1
10,O=C(Nc1nnc(SCc2ccc([N+](=O)[O-])cc2)s1)c1ccccc1Cl
11,O=C(NCc1cccc(C(F)(F)F)c1)C(CC(=O)N1CCCN(Cc2ccccc2)CC1)N1C(=O)C(N2C(=O)OCC2c2ccccc2)C1C=Cc1ccccc1
12,Cc1cc(C)n(-c2cc(NC(=O)CCN(C)C)nc(-c3ccc(C)o3)n2)n1
13,CN(C)C1CCN(CCCOc2ccc(-c3nc4cc(C(C)(C)C)ccc4[nH]3)cc2Cl)C1
14,CCc1cc(Cl)c(OC)c(C(=O)NCC2CCCN2CC)c1O
15,CN1C(=O)c2c(nn(Cc3ccc(C4CCCN4)cc3)c2Nc2ccccc2)N2C1=NC1CCCC12
16,O=C(O)C1C(O)CCC2CN3CCc4c([nH]c5ccccc45)C3CC21
17,O=C(CCCN1CCC(c2cc3ccc2CCc2ccc(cc2)CC3)CC1)c1cc2ccc1CCc1ccc(cc1)CC2
18,Cc1cc(C)n2nc(N3CCNCC3)c(S(=O)(=O)c3ccccc3)c2n1
19,CC(C)C(NC(=O)Cn1c(-c2ccc(F)cc2)ncc(N)c1=O)C(=O)c1nnc(C(C)(C)c2ccccc2)o1
20,CN1C2CCC1C(C(=O)Oc1ccccc1)C(c1ccc(Cl)cc1)C2
21,O=C(NC1CCC(CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1ccco1
22,CC1CNCC2Cc3ccc(C#N)cc3N12
23,Nc1c(C(=O)Nc2ccc([N+](=O)[O-])cc2)sc2nc3c(cc12)CCCC3
24,COc1ccc(Nc2nc3cc(N)cc(N)c3nc2-c2ccccc2)cc1
25,CCc1c(C)sc(NC(=O)c2ccc(Cl)cc2)c1C(=O)OC
26,CCC(=O)N(CC1(N2CCN(CC(C)(C)O)CC2)CCOCC1)c1cccc(C(F)(F)F)n1
27,Cn1c(=O)c2c(nc(OCCOc3ccc(Br)cc3)n2C)n(C)c1=O
28,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC2CCC2)ncc1C(F)(F)F
29,COc1cc2c(c(OC)c1OC)-c1c(cc(C)c(C)c1OC)C(C(=O)Oc1ccccc1)C(C)(O)C(C)C2
30,O=C(Nc1nc2ncccc2n2c(=O)n(-c3ccccc3)nc12)c1ccccc1
31,CCC1Cc2ccc([N+](=O)[O-])cc2CN1
32,Oc1ccc2c(c1)C1(CCCCc3ccccc3)CCN(CCc3ccc(F)cc3)CC1O2
33,CCOC(=O)c1ccc(NC(=O)C2c3cccc(OCCC4CCN(C)CC4)c3CC(C)(C)N2C(=O)C=Cc2c(-n3cnnn3)ccc(Cl)c2F)cc1
34,O=C(NCCN1CCCC1Cn1nc(Cc2ccc(Cl)cc2)c2ccccc2c1=O)C1CCOCC1
